title,subtitle,artist,img_link,year
"Elephant, Hermitage of San Baudelio, Casillas de Berlanga (Soria)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ce/ce77/ce773332-e8dd-447c-bd22-b57c0778a120/d78f0a6c-aac7-499e-9484-4950c8beb00d_268.jpg,1125
"Hare Hunt, Hermitage of San Baudelio, Casillas de Berlanga (Soria)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/2b/2b3c/2b3c6587-3c57-4ab2-be37-5a1d0231bed8/3036af2d-48e6-433d-8a4b-881dc42953fc_268.jpg,1125
"Soldier, Hermitage of San Baudelio, Casillas de Berlanga (Soria)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e0/e047/e047c51a-a5b9-4b19-b5b3-eaee59382be4/d555019a-c0ff-4de6-bb00-4e6979888d1d_268.jpg,1125
"Curtain, Ermita de San Baudelio, Casillas de Berlanga (Soria)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a3/a3ac/a3ac59cd-8d16-4a35-bbec-05a3796d976e/368f8ab4-1fa0-4380-a900-d586f8637ab9_268.jpg,1125
"Deer Hunt, Hermitage of San Baudelio, Casillas de Berlanga (Soria)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b9/b91a/b91ac26a-9f9e-4f3a-b7af-e394601979b2/34b0cdee-e187-4235-94b0-9288060d7001_268.jpg,1125
"Christ Pantocrator surrounded by the Tetramorph, altar...",Tempera on panel,Master Of Lluça (Workshop Of),https://content3.cdnprado.net/imagenes/Documentos/imgsem/e3/e3ca/e3ca2a80-2a83-4e93-91ee-2b53472d22f3/fa29e756-d5ce-4cd3-b326-d9c5efb86a2e_268.jpg,1210
Christ washing the Disciples’ Feet,Fresco painting on mural transferred to canvas,Master Of San Esteve Of Andorra,https://content3.cdnprado.net/imagenes/Documentos/imgsem/86/8610/86101742-00c2-42b8-99b9-705e6df45403/1e8c481f-af92-4d1c-a032-3f99f02e6c2d_268.jpg,1215
Altar frontal with Scenes from the Childhood of Christ,Tempera on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/98/9894/9894ac85-419a-47b2-85a7-6be95ee37e16/39b74dde-7a35-48c7-b1db-708a1a92e518_268.jpg,1929
The Guils Frontal,Tempera on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e6/e65d/e65d6579-b6b8-40c0-9655-d9eb86772395/6c530aec-baec-4f22-9394-5488ca7ac64e_268.jpg,1929
Altarpiece of Saint Christopher,Tempera on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/de/de26/de262360-2a18-49a5-8082-2608db378297/e6ef4e5a-a539-49b4-9fab-0771e064a451_268.jpg,1929
The Virgin and Child,"Tempera, Gilded on panel","Traini, Francesco",https://content3.cdnprado.net/imagenes/Documentos/imgsem/79/7928/7928cdb7-4df0-4636-a1ae-c3641361b619/37680e75-b7ee-49fd-b1d9-0fc0c69b69b4_268.jpg,1345
Episodes from the Lives of Mary Magdalene and Saint John the Baptist,Tempera on panel,"Serra, Jaume",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ba/baa1/baa1b639-a138-4c41-8b80-f90e54673cbc/294cdafc-6e5b-4bc2-9a6a-c772573ba6aa_268.jpg,1359
