title,subtitle,artist,img_link,year,img_name
Triptych of the Redemption: The Expulsion of Adam and...,Oil on panel,Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/34/3402/340227fe-b880-4cae-8544-de902d02a4b0/cc62df4f-0057-4ef3-ace7-7f92bbb6ec19_268.jpg,1450,cc62df4f-0057-4ef3-ace7-7f92bbb6ec19_268.jpg
Triptych of the Redemption: Tribute to Caesar (Jesus and an...,"Grisaille, Oil on panel",Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f3/f369/f3697350-6730-4018-b070-560a59d3ca0b/33230fac-6706-486f-9609-6a096e585b78_268.jpg,1450,33230fac-6706-486f-9609-6a096e585b78_268.jpg
Triptych of the Redemption: Last Judgement,Oil on panel,Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/5d/5dec/5dec2206-49ea-43e8-9852-bc4caad4f80c/34baaa96-4245-4240-9976-054cbef6fc65_268.jpg,1450,34baaa96-4245-4240-9976-054cbef6fc65_268.jpg
Triptych of the Redemption: Tribute to Caesar,"Grisaille, Oil on panel",Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f57/6f57cd8e-e0cd-409a-9002-100029c70481/36c2a479-3d43-4f6c-a96a-28376dfac5ff_268.jpg,1450,36c2a479-3d43-4f6c-a96a-28376dfac5ff_268.jpg
The Virgin and Child,Oil on panel,"Christus, Petrus",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6a11/6a1137df-7750-40e6-9760-7dcd7b9fcacf/ce5db247-f9ff-4685-a3a0-5eeb72e0ca3d_268.jpg,1450,ce5db247-f9ff-4685-a3a0-5eeb72e0ca3d_268.jpg
Altarpiece of the Lives of the Virgin and Saint Francis,"Oil, Tempera on panel","Francés, Nicolás",https://content3.cdnprado.net/imagenes/Documentos/imgsem/84/84f4/84f4be5c-201b-49dc-a5ac-dbbf598aa96e/f91fbc09-e595-48fe-b8af-e3636a52acfd_268.jpg,1460,f91fbc09-e595-48fe-b8af-e3636a52acfd_268.jpg
Saint James the Pilgrim,Oil on panel,"Baró, Bartomeu",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b5/b501/b501632b-e994-4c79-bec4-136ecddf4890/8756038c-5129-433d-96d6-ec7db1096312_268.jpg,1465,8756038c-5129-433d-96d6-ec7db1096312_268.jpg
The Adoration of the Magi,Oil on panel,Master Of The Prado Adoration Of The Magi,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f4d/6f4d82ba-21b4-4dd9-97fa-2ca5af3a1a01/ad611796-e25e-4183-a749-fcf6d286afb0_268.jpg,1470,ad611796-e25e-4183-a749-fcf6d286afb0_268.jpg
The Annunciation,Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a1/a1f4/a1f4b7a1-b596-4934-95ef-4433554ef1f0/119dc5e1-466c-453e-a458-7169d697eb04_268.jpg,1470,119dc5e1-466c-453e-a458-7169d697eb04_268.jpg
"Diego Hurtado de Mendoza y Figueroa, 1st Duke of Infantado",Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/aa/aa20/aa20ff15-24bd-47cd-b90e-63948920e0a9/77e0b21f-da43-443a-8912-64ab2b3b1e9c_268.jpg,1470,77e0b21f-da43-443a-8912-64ab2b3b1e9c_268.jpg
